Time,Best_SAT_ID,EndToEnd_Min_SNR_dB,EndToEnd_SNR_Diff_dB,EndToEnd_Throughput_Mbps,EndToEnd_BER_QPSK,EndToEnd_Latency_ms
10-Apr-2025 12:00:00,LEO35,-1.50202446955289,10.79146836074538,184.0551996166048,0.117094919306009,6.1163349102411
10-Apr-2025 12:00:30,LEO35,0.014225848992794,9.793834731791446,238.98239072149468,0.0783099484607361,6.054165052606
10-Apr-2025 12:01:00,LEO35,3.13866116648404,0.14142167243122028,235.36539508246327,0.0211896703223176,6.256142343753
10-Apr-2025 12:01:30,LEO35,3.95537392252996,0.4050476488115402,271.63734777843666,0.0128773299105705,6.7139813654329
10-Apr-2025 12:02:00,LEO35,0.133901580386706,2.0635028424072037,146.25720899153518,0.0754749987193035,7.401217229230701
10-Apr-2025 12:02:30,LEO68,-3.45607583646932,14.363086981298121,128.0952579385271,0.171063017111717,7.4216775276494005
10-Apr-2025 12:03:00,LEO68,-2.46978654648775,15.32914493504995,154.33556533359527,0.143617712888844,6.9579714551472005
10-Apr-2025 12:03:30,LEO68,-1.52478312055911,14.54524896835481,183.30940796691132,0.117708084167627,6.777977526913599
10-Apr-2025 12:04:00,LEO68,-1.52826833104793,8.88854716223954,183.19540130943298,0.117802041068175,6.9002853724988
10-Apr-2025 12:04:30,LEO68,-3.56214344202844,11.62357271833541,125.50518198931026,0.174008439116654,7.2958414088708
10-Apr-2025 12:05:00,LEO79,-6.45810692997169,6.463723707303684,42.05825374417105,0.250673436102916,8.750077535453
10-Apr-2025 12:05:30,LEO68,-3.13014690331985,4.95373105420026,136.3309458700676,0.161993728875956,8.696148250355499
10-Apr-2025 12:06:00,LEO79,-2.45042862608534,1.1359124117202,114.1723159637537,0.143080695324743,7.8542833518189
10-Apr-2025 12:06:30,LEO34,-0.161802889013231,9.015696424533191,232.0707853562107,0.0825513037885524,7.9995344251535
10-Apr-2025 12:07:00,LEO34,-1.70783452261217,14.037358248257071,177.39399324305916,0.122662759199565,7.066203318990999
10-Apr-2025 12:07:30,LEO34,-2.24193054042077,13.345712402679569,160.96984746512317,0.13730833897322,6.3170516012884
10-Apr-2025 12:08:00,LEO34,0.509452167922817,14.101386107907983,259.18443212872984,0.066853576025247,5.8061904995653
10-Apr-2025 12:08:30,LEO34,3.50715789361541,9.69262473197649,404.6126113115053,0.0170984943858641,5.5651038914619
10-Apr-2025 12:09:00,LEO34,4.19466657436728,2.9020748380450803,374.02939904595945,0.0109476889872112,5.602126902144599
10-Apr-2025 12:09:30,LEO34,4.04823373751265,2.21763500107513,341.5307931256256,0.0121025294302865,5.917792427069
10-Apr-2025 12:10:00,LEO34,2.72968699737571,2.96234795133968,319.7595355719023,0.0264081987499383,6.500190444902801
10-Apr-2025 12:10:30,LEO34,-3.75759708093643,6.39272260068837,72.50767894242134,0.179424262384241,7.309587004787399
10-Apr-2025 12:11:00,LEO34,-2.9434352475851,3.159691555547099,84.74415135746203,0.156792579877003,8.2878256174522
10-Apr-2025 12:11:30,LEO67,-1.38929854438004,13.88508709923494,187.78301569850825,0.114067898969216,7.41740537401
10-Apr-2025 12:12:00,LEO67,-2.58226869825903,14.90738242993523,151.1412889672451,0.146741085354626,7.3482433609807
10-Apr-2025 12:12:30,LEO67,-4.77614006614368,13.305760848282528,98.8551263259058,0.207240484404135,7.5512336205891
10-Apr-2025 12:13:00,LEO78,-4.40398839714697,3.5765426617658944,63.874538055464456,0.197174561107302,8.3941281119263
10-Apr-2025 12:13:30,LEO67,-2.92148201473931,4.504224605717949,141.82677052650928,0.156181058452537,8.6312780336968
10-Apr-2025 12:14:00,LEO78,-1.24569008056888,6.7430711752244505,115.56836507664585,0.110237447992915,7.197241328413799
10-Apr-2025 12:14:30,LEO78,-0.810349580660741,6.815053741103242,124.69387024940586,0.0988308346073735,6.9714162808235995
10-Apr-2025 12:15:00,LEO78,-2.59964377821393,9.09311023334078,90.39155659467993,0.147223954570792,7.0480579943737
10-Apr-2025 12:15:30,LEO78,1.34779551078472,0.18733327394863997,177.5498339864235,0.0493080991283578,7.415027872496699
10-Apr-2025 12:16:00,LEO33,-2.91635515431523,20.18882067232883,141.96402649716472,0.156038250763728,5.6731539677295
10-Apr-2025 12:16:30,LEO33,2.02998751943441,14.78585743147709,328.1165767943087,0.0370053912065179,5.2439799276659
10-Apr-2025 12:17:00,LEO33,2.93980210686871,10.94796793746279,374.17226550342275,0.0236372318015127,5.103896847662201
10-Apr-2025 12:17:30,LEO33,6.1092247099667,3.0483101635812506,458.8191346684885,0.0021354060891192,5.255143648976
10-Apr-2025 12:18:00,LEO33,4.5087782662395,2.2991342985475,362.6083275944166,0.0087367949769388,5.7004765679401
10-Apr-2025 12:18:30,LEO33,1.92420351545383,5.93840660696037,193.79405808783818,0.0387885550235435,6.418814309143801
10-Apr-2025 12:19:00,LEO33,-4.15181454926193,8.02616221337866,67.13294280205365,0.190284626640368,7.3503767559715
10-Apr-2025 12:19:30,LEO33,-8.36094415671069,5.471725350423291,28.09779714583893,0.294566774209907,8.4259573123705
10-Apr-2025 12:20:00,LEO66,-7.17070629756111,18.25981073692751,60.36408778094559,0.267822456894616,7.9285482755473
10-Apr-2025 12:20:30,LEO66,-1.85122563920183,9.4407238742557,172.86296311766435,0.12656984356376,7.948054253731101
10-Apr-2025 12:21:00,LEO66,-5.52688560811779,13.12731695296344,84.93788308126135,0.227090269132893,8.2118456967576
10-Apr-2025 12:21:30,LEO77,-0.960276393731462,1.464401530450274,121.49339522798634,0.10272133391415,7.374199576748
10-Apr-2025 12:22:00,LEO77,-2.48388872474041,8.06618568794019,92.35930708009072,0.144009028557886,6.7186845350116
10-Apr-2025 12:22:30,LEO77,1.52648689730151,6.14853971343258,182.49171696570968,0.0459047147058812,6.3187584755053
10-Apr-2025 12:23:00,LEO77,1.5370354877081,5.40015324156337,182.7861019150696,0.0457077297358573,6.240727398972401
10-Apr-2025 12:23:30,LEO77,3.2692233602771,0.46918635983158996,235.01445458627032,0.0196745793665807,6.5018477200403
10-Apr-2025 12:24:00,LEO77,-1.07286799145386,2.30888887881915,174.5019164549103,0.105669969045635,7.054134155059001
10-Apr-2025 12:24:30,LEO32,0.160609308836243,15.774129613936557,244.83758240146733,0.0748478977845286,5.1187154413050004
10-Apr-2025 12:25:00,LEO32,3.7846716278216,13.4382408350516,419.9618074816427,0.0143896883677539,4.7954430243686
10-Apr-2025 12:25:30,LEO32,9.39694814994552,6.27492307744588,750.2526107793722,1.50853590188331e-05,4.7727962519378
10-Apr-2025 12:26:00,LEO32,7.67594232788754,1.9090507473542697,477.0270846134987,0.0003105224677868,5.0541861707583
10-Apr-2025 12:26:30,LEO32,1.43911197483492,5.3304077789843305,300.10776648679445,0.0475532597939569,5.6439350139522
10-Apr-2025 12:27:00,LEO32,3.45972829921568,1.9016877271430301,241.21143891085626,0.0175931116891659,6.4996682502473
10-Apr-2025 12:27:30,LEO32,-2.05669846793889,8.23202031912888,99.91574554024315,0.132202333837604,7.540621813290599
10-Apr-2025 12:28:00,LEO32,-8.05162654444258,4.46355856915587,30.02793969111824,0.287851552309207,8.6957014268852
10-Apr-2025 12:28:30,LEO65,-4.53006152955021,8.63834135925255,103.82783926072884,0.200599154078867,8.4679671949881
10-Apr-2025 12:29:00,LEO76,-2.11600318055021,1.461122481416824,128.07702888551236,0.133834459710195,8.215519428545601
10-Apr-2025 12:29:30,LEO76,-0.169483352071936,0.414083600211811,148.94473894996167,0.0827382315837805,7.255638037607401
10-Apr-2025 12:30:00,LEO76,3.63160927130841,0.7310646470431696,246.8756238653536,0.0158448608032618,6.4500069328639
